[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:29:21] 移动止盈v2启动
[2026-04-21 01:29:21] 参数: 激活>8.0% | 回撤>4.0% | 止损>9.0% | 间隔5秒
[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:44:43] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.75%
[2026-04-21 01:44:49] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.75%
[2026-04-21 01:44:55] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.75%
[2026-04-21 01:45:01] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.55%
[2026-04-21 01:45:07] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.70%
[2026-04-21 01:45:12] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.37%
[2026-04-21 01:45:18] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.37%
[2026-04-21 01:45:24] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.37%
[2026-04-21 01:45:30] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.37%
[2026-04-21 01:45:36] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+1.01%
[2026-04-21 01:45:42] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+1.01%
[2026-04-21 01:45:47] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+1.01%
[2026-04-21 01:45:53] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.86%
[2026-04-21 01:45:59] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:05] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:11] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:17] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:23] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:29] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:35] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:41] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.83%
[2026-04-21 01:46:47] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.72%
[2026-04-21 01:46:53] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.72%
[2026-04-21 01:46:58] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.72%
[2026-04-21 01:47:04] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.72%
[2026-04-21 01:47:10] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.72%
[2026-04-21 01:47:16] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.93%
[2026-04-21 01:47:22] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.93%
[2026-04-21 01:47:28] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.93%
[2026-04-21 01:47:33] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳+0.93%
[2026-04-21 01:47:39] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+0.93%
[2026-04-21 01:47:45] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+0.99%
[2026-04-21 01:47:51] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+0.99%
[2026-04-21 01:47:57] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+0.99%
[2026-04-21 01:48:03] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+0.99%
[2026-04-21 01:48:09] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+0.99%
[2026-04-21 01:48:15] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+1.14%
[2026-04-21 01:48:20] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+1.43%
[2026-04-21 01:48:26] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+1.22%
[2026-04-21 01:48:32] 监控中: 2个 | SCRTUSDT: ⏳-2.20% | NAORISUSDT: ⏳+1.22%
